model,parameter,value,config,test_accuracy,test_f1,val_accuracy,val_f1,epochs_trained
GraphTransformer,gcn_layers,1,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.8,0.8,0.798,0.798,29
GraphTransformer,gcn_layers,2,"{'gcn_layers': 2, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.795,0.795,0.798,0.798,35
GraphTransformer,gcn_layers,3,"{'gcn_layers': 3, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.797,0.797,0.782,0.782,32
GraphTransformer,gcn_layers,4,"{'gcn_layers': 4, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.799,0.799,0.78,0.78,45
GraphTransformer,transformer_layers,1,"{'gcn_layers': 1, 'transformer_layers': 1, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.791,0.791,0.788,0.788,59
GraphTransformer,transformer_layers,2,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.804,0.804,0.794,0.794,28
GraphTransformer,transformer_layers,3,"{'gcn_layers': 1, 'transformer_layers': 3, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.799,0.799,0.794,0.794,30
GraphTransformer,hidden_channels,64,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.778,0.778,0.776,0.776,25
GraphTransformer,hidden_channels,128,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 128, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.808,0.808,0.8,0.8,25
GraphTransformer,hidden_channels,256,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 256, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.816,0.816,0.806,0.806,30
GraphTransformer,dropout,0,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.797,0.797,0.794,0.794,29
GraphTransformer,dropout,0.5,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.804,0.804,0.808,0.808,31
GraphTransformer,dropout,0.6,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.6, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.81,0.81,0.804,0.804,33
GraphTransformer,attn_dropout,0.0,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.788,0.788,0.792,0.792,33
GraphTransformer,attn_dropout,0.2,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.2, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.817,0.817,0.804,0.804,28
GraphTransformer,lr,0.003,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.003, 'weight_decay': 0.0005}",0.793,0.793,0.786,0.786,29
GraphTransformer,lr,0.005,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.797,0.797,0.8,0.8,36
GraphTransformer,weight_decay,0.0005,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.805,0.805,0.796,0.796,39
GraphTransformer,weight_decay,0.001,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.001}",0.803,0.803,0.786,0.786,30
GraphTransformer,pre_norm,True,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.821,0.821,0.804,0.804,31
GraphTransformer,residual_dropout,0.0,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.0, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.813,0.813,0.802,0.802,31
GraphTransformer,residual_dropout,0.1,"{'gcn_layers': 1, 'transformer_layers': 2, 'hidden_channels': 64, 'dropout': 0.5, 'attn_dropout': 0.0, 'pre_norm': True, 'residual_dropout': 0.1, 'grad_clip_norm': 1.0, 'lr': 0.005, 'weight_decay': 0.0005}",0.786,0.786,0.778,0.778,31
